,theta,rpm1,rpm2
0,0.0,0.0,0.0
1,330.0,6.283185307179585,3.1415926535897927
2,330.0,6.283185307179585,6.283185307179585
3,330.0,6.283185307179585,6.283185307179585
4,330.0,6.283185307179585,6.283185307179585
5,330.0,3.1415926535897927,3.1415926535897927
6,360.0,3.1415926535897927,6.283185307179585
7,0.0,6.283185307179585,6.283185307179585
8,30.0,3.1415926535897927,6.283185307179585
9,60.0,3.1415926535897927,6.283185307179585
10,60.0,6.283185307179585,6.283185307179585
11,60.0,6.283185307179585,6.283185307179585
12,60.0,6.283185307179585,6.283185307179585
13,30.0,6.283185307179585,3.1415926535897927
14,0.0,6.283185307179585,3.1415926535897927
15,0.0,6.283185307179585,6.283185307179585
16,330.0,6.283185307179585,3.1415926535897927
17,330.0,6.283185307179585,6.283185307179585
18,330.0,6.283185307179585,6.283185307179585
19,300.0,6.283185307179585,3.1415926535897927
20,300.0,6.283185307179585,6.283185307179585
21,300.0,6.283185307179585,6.283185307179585
22,300.0,6.283185307179585,6.283185307179585
23,359.0,0.0,6.283185307179585
24,359.0,6.283185307179585,6.283185307179585
25,359.0,6.283185307179585,6.283185307179585
26,359.0,6.283185307179585,6.283185307179585
27,58.0,0.0,6.283185307179585
28,58.0,6.283185307179585,6.283185307179585
