,theta,rpm1,rpm2
0,0.0,0.0,0.0
1,330.0,6.283185307179585,3.1415926535897927
2,330.0,6.283185307179585,6.283185307179585
3,330.0,6.283185307179585,6.283185307179585
4,300.0,6.283185307179585,3.1415926535897927
5,359.0,0.0,6.283185307179585
6,359.0,6.283185307179585,6.283185307179585
7,359.0,6.283185307179585,6.283185307179585
8,359.0,6.283185307179585,6.283185307179585
9,58.0,0.0,6.283185307179585
10,58.0,6.283185307179585,6.283185307179585
11,58.0,6.283185307179585,6.283185307179585
12,58.0,6.283185307179585,6.283185307179585
13,58.0,6.283185307179585,6.283185307179585
14,359.0,6.283185307179585,0.0
15,359.0,6.283185307179585,6.283185307179585
16,329.0,6.283185307179585,3.1415926535897927
17,329.0,6.283185307179585,6.283185307179585
18,329.0,6.283185307179585,6.283185307179585
19,299.0,6.283185307179585,3.1415926535897927
20,299.0,6.283185307179585,6.283185307179585
21,299.0,6.283185307179585,6.283185307179585
22,299.0,6.283185307179585,6.283185307179585
23,358.0,0.0,6.283185307179585
24,358.0,6.283185307179585,6.283185307179585
25,358.0,6.283185307179585,6.283185307179585
26,28.0,3.1415926535897927,6.283185307179585
27,28.0,6.283185307179585,6.283185307179585
28,28.0,6.283185307179585,6.283185307179585
29,28.0,6.283185307179585,6.283185307179585
